,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",TotÂ Cases/1M pop
0,China,80753,+18,3136.0,17.0,59898.0,17719,5111.0,56.1
1,Italy,9172,"+1,797",463.0,97.0,724.0,7985,733.0,151.7
2,S. Korea,7478,+165,53.0,3.0,166.0,7259,36.0,145.9
3,Iran,7161,+595,237.0,43.0,2394.0,4530,0.0,85.3
4,France,1412,+203,30.0,11.0,12.0,1370,66.0,21.6
5,Spain,1231,+557,30.0,13.0,32.0,1169,11.0,26.3
6,Germany,1224,+184,2.0,2.0,18.0,1204,9.0,14.6
7,Diamond Princess,696,0,7.0,0.0,245.0,444,32.0,0.0
8,USA,624,+83,26.0,4.0,15.0,583,8.0,1.9
9,Japan,530,+28,9.0,2.0,101.0,420,33.0,4.2
10,Switzerland,374,+42,2.0,0.0,3.0,369,0.0,43.2
11,UK,321,+43,5.0,2.0,18.0,298,0.0,4.7
12,Netherlands,321,+56,4.0,1.0,0.0,317,1.0,18.7
13,Sweden,261,+58,0.0,0.0,1.0,260,0.0,25.8
14,Belgium,239,+39,0.0,0.0,1.0,238,2.0,20.6
15,Norway,227,+51,0.0,0.0,1.0,226,0.0,41.9
16,Singapore,160,+10,0.0,0.0,93.0,67,10.0,27.3
17,Austria,131,+27,0.0,0.0,2.0,129,1.0,14.5
18,Malaysia,117,+18,0.0,0.0,24.0,93,2.0,3.6
19,Hong Kong,116,+1,3.0,0.0,59.0,54,6.0,15.5
20,Bahrain,109,+24,0.0,0.0,22.0,87,0.0,64.1
21,Australia,93,+10,3.0,0.0,22.0,68,1.0,3.6
22,Denmark,90,+55,0.0,0.0,1.0,89,0.0,15.5
23,Greece,84,+11,0.0,0.0,0.0,84,1.0,8.1
24,Canada,77,+11,1.0,1.0,8.0,68,1.0,2.0
25,Iraq,71,+6,7.0,1.0,3.0,61,0.0,1.8
26,Iceland,65,+7,0.0,0.0,1.0,64,0.0,0.0
27,Kuwait,65,+1,0.0,0.0,1.0,64,3.0,15.2
28,Egypt,59,+4,1.0,0.0,1.0,57,0.0,0.6
29,UAE,59,+14,0.0,0.0,12.0,47,2.0,6.0
30,San Marino,51,+14,2.0,1.0,0.0,49,5.0,0.0
31,Thailand,50,0,1.0,0.0,33.0,16,1.0,0.7
32,Israel,50,+11,0.0,0.0,4.0,46,1.0,5.8
33,India,47,+7,0.0,0.0,4.0,43,0.0,0.0
34,Taiwan,45,0,1.0,0.0,15.0,29,0.0,1.9
35,Lebanon,41,+9,0.0,0.0,1.0,40,3.0,6.0
36,Portugal,39,+9,0.0,0.0,0.0,39,0.0,3.8
37,Czechia,38,+6,0.0,0.0,0.0,38,0.0,3.5
38,Finland,33,+8,0.0,0.0,1.0,32,0.0,6.0
39,Vietnam,31,+1,0.0,0.0,16.0,15,0.0,0.3
40,Brazil,25,0,0.0,0.0,0.0,25,1.0,0.1
41,Palestine,25,+6,0.0,0.0,0.0,25,0.0,4.9
42,Philippines,24,+14,1.0,0.0,2.0,21,1.0,0.2
43,Ireland,24,+3,0.0,0.0,0.0,24,0.0,4.9
44,Slovenia,24,+8,0.0,0.0,0.0,24,0.0,11.5
45,Algeria,20,0,0.0,0.0,0.0,20,0.0,0.5
46,Russia,20,+3,0.0,0.0,3.0,17,0.0,0.1
47,Saudi Arabia,20,+9,0.0,0.0,1.0,19,0.0,0.6
48,Indonesia,19,+13,0.0,0.0,0.0,19,0.0,0.1
49,Oman,18,+2,0.0,0.0,9.0,9,0.0,3.5
50,Qatar,18,+3,0.0,0.0,0.0,18,0.0,6.2
51,Argentina,17,+5,1.0,0.0,0.0,16,0.0,0.4
52,Romania,17,+2,0.0,0.0,5.0,12,0.0,0.9
53,Poland,17,+6,0.0,0.0,0.0,17,2.0,0.4
54,Pakistan,16,+9,0.0,0.0,1.0,15,0.0,0.1
55,Ecuador,15,+1,0.0,0.0,0.0,15,1.0,0.9
56,Georgia,15,+2,0.0,0.0,0.0,15,1.0,3.8
57,Croatia,13,+1,0.0,0.0,0.0,13,0.0,3.2
58,Chile,13,+3,0.0,0.0,0.0,13,0.0,0.7
59,Macao,10,0,0.0,0.0,10.0,0,0.0,0.0
60,Estonia,10,0,0.0,0.0,0.0,10,0.0,7.5
61,Azerbaijan,9,0,0.0,0.0,0.0,9,0.0,0.9
62,Costa Rica,9,0,0.0,0.0,0.0,9,1.0,1.8
63,Hungary,9,+2,0.0,0.0,0.0,9,0.0,0.9
64,Peru,9,+2,0.0,0.0,0.0,9,0.0,0.3
65,Mexico,7,0,0.0,0.0,1.0,6,1.0,0.1
66,Slovakia,7,+2,0.0,0.0,0.0,7,0.0,1.3
67,South Africa,7,+4,0.0,0.0,0.0,7,0.0,0.1
68,Belarus,6,0,0.0,0.0,0.0,6,0.0,0.6
69,Latvia,6,+3,0.0,0.0,1.0,5,0.0,3.2
70,Albania,6,+4,0.0,0.0,0.0,6,0.0,2.1
71,Maldives,6,+2,0.0,0.0,0.0,6,0.0,0.0
72,Dominican Republic,5,0,0.0,0.0,0.0,5,0.0,0.5
73,Luxembourg,5,0,0.0,0.0,0.0,5,0.0,0.0
74,New Zealand,5,0,0.0,0.0,0.0,5,0.0,1.0
75,Tunisia,5,+3,0.0,0.0,0.0,5,0.0,0.4
76,Bosnia and Herzegovina,5,+2,0.0,0.0,0.0,5,0.0,1.5
77,French Guiana,5,0,0.0,0.0,0.0,5,0.0,0.0
78,Afghanistan,4,0,0.0,0.0,0.0,4,0.0,0.1
79,North Macedonia,4,+1,0.0,0.0,0.0,4,0.0,1.9
80,Senegal,4,0,0.0,0.0,1.0,3,0.0,0.2
81,Bulgaria,4,0,0.0,0.0,0.0,4,0.0,0.6
82,Malta,4,+1,0.0,0.0,0.0,4,0.0,0.0
83,Bangladesh,3,0,0.0,0.0,0.0,3,0.0,0.0
84,Colombia,3,+2,0.0,0.0,0.0,3,0.0,0.1
85,Cambodia,2,0,0.0,0.0,1.0,1,0.0,0.1
86,Morocco,2,0,0.0,0.0,0.0,2,1.0,0.1
87,Nigeria,2,+1,0.0,0.0,0.0,2,0.0,0.0
88,Cameroon,2,0,0.0,0.0,0.0,2,0.0,0.1
89,Cyprus,2,+2,0.0,0.0,0.0,2,0.0,1.7
90,Faeroe Islands,2,0,0.0,0.0,0.0,2,0.0,0.0
91,Martinique,2,0,0.0,0.0,0.0,2,0.0,0.0
92,Saint Martin,2,0,0.0,0.0,0.0,2,0.0,0.0
93,Serbia,2,+1,0.0,0.0,0.0,2,0.0,0.2
94,Andorra,1,0,0.0,0.0,0.0,1,0.0,0.0
95,Armenia,1,0,0.0,0.0,0.0,1,0.0,0.3
96,Jordan,1,0,0.0,0.0,0.0,1,0.0,0.1
97,Lithuania,1,0,0.0,0.0,0.0,1,0.0,0.4
98,Monaco,1,0,0.0,0.0,0.0,1,0.0,0.0
99,Nepal,1,0,0.0,0.0,1.0,0,0.0,0.0
100,Sri Lanka,1,0,0.0,0.0,1.0,0,0.0,0.0
101,Ukraine,1,0,0.0,0.0,0.0,1,0.0,0.0
102,Bhutan,1,0,0.0,0.0,0.0,1,0.0,0.0
103,Brunei,1,+1,0.0,0.0,0.0,1,0.0,0.0
104,Burkina Faso,1,+1,0.0,0.0,0.0,1,0.0,0.0
105,Channel Islands,1,+1,0.0,0.0,0.0,1,0.0,0.0
106,Gibraltar,1,0,0.0,0.0,1.0,0,0.0,0.0
107,Vatican City,1,0,0.0,0.0,0.0,1,0.0,0.0
108,Liechtenstein,1,0,0.0,0.0,0.0,1,0.0,0.0
109,Moldova,1,0,0.0,0.0,0.0,1,0.0,0.2
110,Paraguay,1,0,0.0,0.0,0.0,1,0.0,0.1
111,St. Barth,1,0,0.0,0.0,0.0,1,0.0,0.0
112,Togo,1,0,0.0,0.0,0.0,1,0.0,0.1
